timestamp,scheduler_type,num_requests,num_gpus,use_real_timestamps,rps_scaling,d_sla,k_bins,sla_violation_rate,capacity_qps_under_sla,throughput_requests_per_sec,throughput_tokens_per_sec,avg_latency,p50_latency,p95_latency,p99_latency,max_latency,avg_queueing_delay,avg_service_time,avg_gpu_utilization,min_gpu_utilization,max_gpu_utilization,num_batches,avg_batch_size,min_batch_size,max_batch_size,total_time,total_tokens,num_completed,execution_time_seconds,status,error
2025-11-24 20:12:59,dynamic_no_bins,100000,1,False,200.0,1.0,1.0,0.96534,0.2917524937924214,8.417556081720178,5235.803890039647,2065.048532912454,391.5476757368865,7403.16562978298,7595.1775897819025,7646.382729781634,2064.351709408854,0.696823503599894,0.8994772569624528,0.8994772569624528,0.8994772569624528,21648.0,4.619364375461936,1.0,126.0,11879.932729781634,62200998.0,100000.0,2.3247668743133545,success,
2025-11-24 20:13:01,multi_bin_dynamic,100000,1,False,200.0,1.0,8.0,0.93599,0.6105893758516777,9.53896853384905,5933.333626960078,508.12160301787884,219.61484212058076,3549.7233568689085,5670.629880868575,6249.773750868323,507.82455603187884,0.29704698599999046,0.9673551099708573,0.9673551099708573,0.9673551099708573,15200.0,6.578947368421052,1.0,127.0,10483.313750868323,62200998.0,100000.0,2.8371829986572266,success,
2025-11-24 20:13:04,multi_bin_dynamic,100000,2,False,200.0,1.0,8.0,0.82568,2.397971019930929,13.75614398767169,8556.458846648788,281.22560766988437,155.882140542064,1709.5980616776649,2755.1913416779385,3035.9390116780105,280.94884956688435,0.27675810300001613,0.8006431857823809,0.7997707130299577,0.8015156585348041,21770.0,4.593477262287552,1.0,127.0,7269.4790116780105,62200998.0,100000.0,2.8332746028900146,success,
2025-11-24 20:13:09,multi_bin_dynamic,100000,4,False,200.0,1.0,8.0,0.61549,6.719420398664786,17.475281263594667,10869.799349262894,105.12318952727199,15.708885813566667,851.618061024547,1357.0666799745088,1488.8285554248978,104.86813733507195,0.25505219220002173,0.5883806579934601,0.5785990874494003,0.5947163772718695,30790.0,3.247807729782397,1.0,127.0,5722.368555424898,62200998.0,100000.0,5.12074089050293,success,
2025-11-24 20:13:30,static_fifo,1000000,1,False,200.0,1.0,1.0,0.997825,0.026642275999356233,12.24932229855459,10073.901969549865,32118.889782130544,30980.501790002018,60599.17475499878,62702.13649499819,63083.649438998196,32118.24740153542,0.6423805951199859,0.9883994591967018,0.9883994591967018,0.9883994591967018,126155.0,7.92675676746859,1.0,8.0,81637.1694389982,822404842.0,1000000.0,20.248597860336304,success,
2025-11-24 20:14:01,dynamic_no_bins,1000000,1,False,200.0,1.0,1.0,0.996539,0.01805507996994825,5.216723481637748,4290.258650673983,80752.32690867822,75557.05117649608,166241.87567657686,172092.85349898043,173137.65301658353,80751.9025353467,0.42437333154026613,0.9937699002460765,0.9937699002460765,0.9937699002460765,474331.0,2.1082324368426266,1.0,126.0,191691.20301658352,822404842.0,1000000.0,30.874974250793457,success,
2025-11-24 20:16:12,multi_bin_dynamic,1000000,1,False,200.0,1.0,8.0,0.979076,0.17544398202801692,8.3848203989685,6895.716895412067,14214.205335860855,352.37035821670634,86806.01426267398,100332.90484047464,100933.68273267536,14213.777890400914,0.4274454599400532,0.9971274243855904,0.9971274243855904,0.9971274243855904,169618.0,5.895600702755604,1.0,127.0,119263.13891267365,822404842.0,1000000.0,31.791470766067505,success,
2025-11-24 20:16:46,multi_bin_dynamic,1000000,2,False,200.0,1.0,8.0,0.904761,1.407043256107811,14.773813837900555,12150.05603509602,8007.1769040862255,221.6231724895706,46904.7578452736,51872.93281396625,52935.385455654556,8006.772151898527,0.40475218770001653,0.9785933704298904,0.978494547934657,0.9786921929251238,205233.0,4.872510756067494,1.0,127.0,67687.32914683226,822404842.0,1000000.0,33.996907234191895,success,
2025-11-24 20:17:20,multi_bin_dynamic,1000000,4,False,200.0,1.0,8.0,0.701112,8.139511901290845,27.23264868877588,22396.262142134234,3183.02965137485,58.584657905229506,20466.499984735598,23257.254509977833,24138.293997028497,3182.6388273273483,0.39082404750003935,0.9358594065470704,0.9355221423919639,0.9361597466724865,229076.0,4.365363460161693,1.0,127.0,36720.62939702802,822404842.0,1000000.0,34.01549768447876,success,
2025-11-24 20:17:55,multi_bin_dynamic,1000000,8,False,200.0,1.0,8.0,0.515458,22.250107617387886,45.91987406125348,37764.72677200507,1066.808399887418,2.0092709678774554,7256.735500528896,9251.61614137906,9826.07211726291,1066.4389886511385,0.3694112362800332,0.8474599496835463,0.8404369829891574,0.859460241974652,271518.0,3.682997075700322,1.0,127.0,21777.06320940861,822404842.0,1000000.0,34.546868324279785,success,
2025-11-24 20:18:28,multi_bin_dynamic,1000000,16,False,200.0,1.0,8.0,0.352756,34.881562455043145,53.892446210460264,44321.40871070707,197.21865693670676,0.3440408129044954,1686.32343944474,2678.647844417473,2799.2983135685845,196.86839125564677,0.3502656810600222,0.5322103226646571,0.46803511641685575,0.6627385607342527,346749.0,2.8839304511332404,1.0,127.0,18555.476144000026,822404842.0,1000000.0,33.11060905456543,success,
2025-11-24 20:18:59,multi_bin_dynamic,1000000,32,False,200.0,1.0,8.0,0.232547,41.36363656697613,53.897289562977974,44325.39190726915,17.326549687505455,0.21114668427071592,132.18762214839518,309.2148793955834,497.6552366133037,16.995104440385436,0.3314452471200212,0.2960732201543048,0.22847299030727858,0.4632893871862804,470762.0,2.1242156333773754,1.0,123.0,18553.8087,822404842.0,1000000.0,31.497863054275513,success,
2025-11-24 20:19:37,multi_bin_dynamic,1000000,64,False,200.0,1.0,8.0,0.136853,46.52128379441575,53.897289562977974,44325.39190726915,2.1142071915320684,0.16276058791208925,12.064100475003032,44.700053100008596,61.70147800000632,1.8091902728720606,0.30501691866000835,0.17611993152553004,0.09244727805355528,0.4972207677911601,686196.0,1.4573095733580492,1.0,101.0,18553.8087,822404842.0,1000000.0,37.59624981880188,success,
2025-11-24 20:21:08,multi_bin_dynamic,1000000,100,False,200.0,1.0,1.0,0.285202,38.52567478503753,53.897289562977974,44325.39190726915,2.141633869484641,0.2537999999985914,11.268987999997524,14.422540199999558,18.328459999976985,1.8263572215446353,0.3152766479400048,0.1275499998069738,0.051100554895771914,0.4786958819943084,815757.0,1.2258552485605394,1.0,11.0,18553.8087,822404842.0,1000000.0,43.785088539123535,success,
2025-11-24 20:22:32,multi_bin_dynamic,1000000,100,False,200.0,1.0,2.0,0.114629,47.71909715766337,53.897289562977974,44325.39190726915,0.6504015984528688,0.1499999999996362,3.216686452374498,10.475241914175115,13.993419999987964,0.3531678137328542,0.29723378472001444,0.12455599634262635,0.04504833288861929,0.4716852961688687,828295.0,1.20729933175982,1.0,92.0,18553.8087,822404842.0,1000000.0,84.38763880729675,success,
2025-11-24 20:24:38,multi_bin_dynamic,1000000,100,False,200.0,1.0,4.0,0.101394,48.43242778502938,53.897289562977974,44325.39190726915,0.5973621134857431,0.15060000000084983,2.458298199998987,10.36061245525525,16.48750000000291,0.3047015396257287,0.29266057386001443,0.1243128612020097,0.04425206051919462,0.4745026045968844,834970.0,1.1976478196821443,1.0,64.0,18553.8087,822404842.0,1000000.0,125.73532056808472,success,
2025-11-24 20:26:03,multi_bin_dynamic,1000000,100,False,200.0,1.0,8.0,0.095439,48.75338614437692,53.897289562977974,44325.39190726915,0.5806790869022902,0.14580000000023574,2.058103499998374,10.36006089955593,18.091279999995095,0.29210843782227824,0.2885706490800121,0.1242390194871859,0.04427118857391797,0.479758383193485,840136.0,1.1902834779130997,1.0,54.0,18553.8087,822404842.0,1000000.0,85.35650825500488,success,
2025-11-24 20:27:27,multi_bin_dynamic,1000000,100,False,200.0,1.0,16.0,0.087251,49.194697151318586,53.897289562977974,44325.39190726915,0.5841243581430907,0.14550000000053842,1.7249216000004686,11.210699999999633,18.66458000000239,0.2984037589230814,0.28572059922000903,0.12441471657972766,0.0444330325707668,0.47544324903839785,844381.0,1.1842995046075173,1.0,55.0,18553.8087,822404842.0,1000000.0,83.44476675987244,success,
2025-11-24 20:31:01,multi_bin_dynamic,1000000,100,False,200.0,1.0,32.0,0.083737,49.38409222684289,53.897289562977974,44325.39190726915,0.6113271336452392,0.14597893920199567,1.5601200000000972,12.852242799995668,19.687299999997776,0.3271494778652311,0.28417765578000753,0.12489756899584056,0.045489614418182035,0.47010057607425765,848577.0,1.1784434411962614,1.0,64.0,18553.8087,822404842.0,1000000.0,213.72893977165222,success,
